Step,Config,Temperature,Candidate_Value,Accepted_Value,Best_Value
33,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,278.1283894436937,179,179,179
34,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,250.31555049932436,179,179,179
35,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,225.28399544939197,179,179,179
36,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,202.75559590445275,179,179,179
37,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,182.4800363140075,179,179,179
38,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,164.23203268260676,179,179,179
39,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,147.80882941434606,179,179,179
40,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,133.02794647291145,179,179,179
41,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,119.72515182562033,179,179,179
42,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,107.7526366430583,179,179,179
43,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,96.97737297875247,179,179,179
44,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,87.27963568087723,179,179,179
45,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,78.5516721127895,179,179,179
46,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,70.69650490151055,179,179,179
47,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,63.626854411359496,179,179,179
48,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,57.264168970223544,179,179,179
49,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,51.5377520732012,179,179,179
50,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,46.38397686588108,179,179,179
51,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,41.745579179292974,179,179,179
52,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,37.571021261363676,179,179,179
53,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,33.81391913522731,179,179,179
54,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,30.43252722170458,179,179,179
55,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,27.38927449953412,179,179,179
56,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,24.650347049580713,179,179,179
57,0.4_0|0.5_1|0.5_3|1.0_0|1.11_1|1.11_2|1.15_0|1.6_0|1.8_0|4.11_0|4.11a_2|4.11b_2|4.13_0|4.1_2|4.3_1|4.3a_0|4.4_0,22.18531234462264,179,179,179
