ID,Q_0.1_1,Q_0.1_2,Q_0.2_0,Q_0.3_1,Q_0.3_2,Q_0.3_3,Q_0.3_4,Q_0.4_0,Q_0.5_1,Q_0.5_2,Q_0.5_3,Q_0.5_4,Q_0.6_1,Q_1.0_0,Q_1.11_1,Q_1.11_2,Q_1.12_0,Q_1.13_0,Q_1.14_0,Q_1.15_0,Q_1.1_0,Q_1.6_0,Q_1.7_1,Q_1.7_2,Q_1.8_0,Q_1.9_0,Q_4.0_0,Q_4.11_0,Q_4.11a_1,Q_4.11a_2,Q_4.11a_3,Q_4.11b_1,Q_4.11b_2,Q_4.13_0,Q_4.1_1,Q_4.1_2,Q_4.2_1,Q_4.2_2,Q_4.2_3,Q_4.3_1,Q_4.3_2,Q_4.3a_0,Q_4.4_0
31157,6,1,,1,1,2,1,1,17,11,17,20,8,3,5,4,1,1,2,1,1,4,0,0,,0,1,0,,,,,,2,0,0,1,0,0,3,0,,4
31163,7,1,0,1,1,3,1,1,17,18,17,50,9,1,4,4,1,1,2,1,3,4,0,0,,0,1,3,,,,1,1,2,0,0,1,0,1,1,1,2,2
31165,2,1,0,1,1,0,1,1,12,18,13,35,12,1,5,5,3,1,3,1,1,3,1,1,,1,1,4,,,,6,1,2,0,0,1,0,0,1,1,1,2
31166,4,1,0,1,1,0,1,1,17,19,18,30,7,1,4,3,1,1,3,2,1,2,1,1,1,1,1,1,1,1,1,,,1,0,0,1,0,0,3,0,,1
31167,2,1,0,1,1,5,1,1,17,15,18,25,9,1,4,2,1,1,3,1,1,3,1,1,,1,1,2,,,,,,1,0,0,1,0,0,1,0,1,3
31168,1,1,0,1,1,8,1,0,18,14,18,20,0,3,0,0,1,1,2,1,2,2,0,0,,0,2,,,,,,,,0,0,3,0,0,1,0,,1
31169,2,1,0,1,1,6,1,1,16,18,16,40,8,1,5,5,2,3,3,1,1,4,1,1,,1,1,4,,,,5,1,2,0,0,1,1,1,1,1,1,1
31170,2,1,0,1,1,12,1,1,17,17,17,25,8,1,4,4,1,1,3,1,1,4,1,1,,1,1,3,,,,2,1,2,0,0,1,0,0,1,0,1,2
31171,2,1,0,1,1,6,1,1,9,18,9,31,7,4,6,3,1,3,2,1,1,4,1,1,,0,1,4,,,,1,0,2,0,0,1,0,0,1,0,1,4
31172,2,1,0,1,1,12,1,1,16,16,16,30,8,1,4,4,1,1,3,1,1,3,1,1,0,1,1,4,,,,2,1,2,0,0,1,1,1,2,1,,1
31173,2,1,0,1,1,6,1,1,15,18,15,30,6,1,4,4,3,1,3,1,1,3,1,1,,0,1,5,,,,,,1,0,0,1,0,0,1,0,1,3
31174,3,1,0,1,1,9,1,1,17,18,17,35,8,1,4,4,3,1,2,1,1,2,1,1,,1,1,3,,,,5,1,1,0,0,1,0,0,3,0,,7
31175,2,1,0,1,1,3,1,1,15,16,15,20,12,1,3,3,2,1,3,1,1,3,1,1,,1,1,1,1,1,1,,,2,0,0,1,0,0,1,1,1,7
31176,2,1,0,1,1,12,1,1,16,17,16,30,8,1,6,6,3,3,3,1,1,3,1,1,,1,1,3,,,,1,1,1,0,0,1,0,0,1,1,2,2
